RowId,customerID,gender,SeniorCitizen,Partner,Supplementary Line,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5155-AZQPBMonth-to-monthMailed check,5155-AZQPB,female,0,Yes,,Yes,28,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,n,Mailed check,49.9,1410.25,No
5442-BXVNDMonth-to-monthBank transfer (automatic),5442-BXVND,female,0,Yes,,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,n,Bank transfer (automatic),24.25,838.5,No
2272-UOINIMonth-to-monthElectronic check,2272-UOINI,Female,0,No,,No,7,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,78.5,571.05,No
4587-NUKOXMonth-to-monthElectronic check,4587-NUKOX,Female,0,No,,No,3,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.1,246.5,Yes
5590-ZSKRVMonth-to-monthMailed check,5590-ZSKRV,female,0,Yes,,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,n,Mailed check,54.65,482.25,No
5447-WZAFPOne yearMailed check,5447-WZAFP,Female,0,No,,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,100.3,5200.8,No
8262-COGGBMonth-to-monthMailed check,8262-COGGB,M,0,No,,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,20.45,No
5989-PGKJBMonth-to-monthElectronic check,5989-PGKJB,Female,0,No,,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.25,1340.1,No
2038-LLMLMMonth-to-monthElectronic check,2038-LLMLM,Female,0,No,,No,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.85,4946.05,No
8178-EYZUOMonth-to-monthElectronic check,8178-EYZUO,Male,0,No,,No,46,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Y,Electronic check,93.7,4154.8,Yes
7707-PYBBHMonth-to-monthMailed check,7707-PYBBH,m,0,No,,No,40,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,61.9,2647.1,No
1379-FRVEBMonth-to-monthElectronic check,1379-FRVEB,m,0,No,,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91,1430.05,No
3689-MOZGRMonth-to-monthElectronic check,3689-MOZGR,Female,0,No,,No,29,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,31.2,926.2,No
6475-VHUIZMonth-to-monthElectronic check,6475-VHUIZ,Female,0,Yes,,No,23,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,n,Electronic check,54.25,1221.55,No
8076-FEZKJOne yearMailed check,8076-FEZKJ,m,0,No,,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,n,Mailed check,19.5,225.85,No
3398-GCPMUTwo yearCredit card (automatic),3398-GCPMU,Female,1,Yes,,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),89.55,6448.85,No
7205-BAIADTwo yearBank transfer (automatic),7205-BAIAD,Female,0,No,,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.6,827.3,No
0320-JDNQGMonth-to-monthElectronic check,0320-JDNQG,Male,0,Yes,,Yes,23,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Y,Electronic check,99.85,2331.3,Yes
0142-GVYSNMonth-to-monthElectronic check,0142-GVYSN,male,0,No,,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Y,Electronic check,20.3,511.25,No
1032-MAELWOne yearElectronic check,1032-MAELW,Female,0,Yes,,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,78.45,5333.35,No
8622-ZLFKOMonth-to-monthElectronic check,8622-ZLFKO,Female,0,Yes,,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.75,512.25,No
0679-TDGAKOne yearElectronic check,0679-TDGAK,male,0,Yes,,Yes,50,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,n,Electronic check,75.5,4025.6,No
7410-YTJIKMonth-to-monthMailed check,7410-YTJIK,Female,0,No,,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,n,Mailed check,75.45,480.75,Yes
0447-RXSGDMonth-to-monthBank transfer (automatic),0447-RXSGD,male,0,No,YES,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Y,Bank transfer (automatic),99.65,2404.85,No
7554-AKDQFMonth-to-monthMailed check,7554-AKDQF,Female,0,Yes,,No,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,n,Mailed check,45.65,323.45,No
1790-NESIOTwo yearMailed check,1790-NESIO,Female,0,No,,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.4,261.3,No
9297-EONCVTwo yearBank transfer (automatic),9297-EONCV,Female,0,No,,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),91.35,6697.2,No
5609-IMCGGMonth-to-monthCredit card (automatic),5609-IMCGG,Female,0,No,,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.35,1302.65,No
6242-SGYTSOne yearCredit card (automatic),6242-SGYTS,Male,0,Yes,,Yes,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Y,Credit card (automatic),94.95,5791.85,No
6366-XIVKZMonth-to-monthMailed check,6366-XIVKZ,Female,0,Yes,,Yes,13,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,63.15,816.8,No
4860-YZGZMMonth-to-monthElectronic check,4860-YZGZM,Male,0,No,,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,n,Electronic check,20,185.4,No
9838-BFCQTTwo yearMailed check,9838-BFCQT,Male,0,Yes,,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,n,Mailed check,26.1,1851.45,No
8731-WBBMBMonth-to-monthBank transfer (automatic),8731-WBBMB,Female,0,Yes,,No,26,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,n,Bank transfer (automatic),81.9,2078.55,No
0310-MVLETMonth-to-monthElectronic check,0310-MVLET,Female,0,Yes,,Yes,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.15,6010.05,Yes
4003-OCTMPOne yearElectronic check,4003-OCTMP,Female,0,Yes,,No,31,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,64,1910.75,No
9058-CBREOMonth-to-monthMailed check,9058-CBREO,Female,1,No,,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,n,Mailed check,50.55,50.55,Yes
9079-YEXQJMonth-to-monthElectronic check,9079-YEXQJ,Female,0,No,,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,111.1,6014.85,Yes
8082-GHXOPMonth-to-monthMailed check,8082-GHXOP,Male,0,No,,Yes,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,n,Mailed check,44,659.35,No
0516-QREYCMonth-to-monthMailed check,0516-QREYC,Female,1,No,,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.3,459.95,No
2065-MMKGROne yearCredit card (automatic),2065-MMKGR,Female,0,No,,No,29,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),71,2080.1,No
1777-JYQPJMonth-to-monthMailed check,1777-JYQPJ,Male,0,No,,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,n,Mailed check,24.3,38.45,No
2739-CCZMBMonth-to-monthCredit card (automatic),2739-CCZMB,Male,0,No,,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,n,Credit card (automatic),20.35,122,No
4803-AXVYPMonth-to-monthElectronic check,4803-AXVYP,Female,1,No,,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.55,3734.25,Yes
9710-ZUSHQMonth-to-monthBank transfer (automatic),9710-ZUSHQ,Female,1,No,,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.75,4056.75,Yes
2229-VWQJHMonth-to-monthCredit card (automatic),2229-VWQJH,Female,0,No,YES,No,24,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),49.3,1233.25,No
7644-OMVMYTwo yearMailed check,7644-OMVMY,male,0,Yes,,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,n,Mailed check,19.85, ,No
4951-UKAAQMonth-to-monthElectronic check,4951-UKAAQ,Female,0,No,,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.95,355.2,Yes
5473-KHBPSOne yearCredit card (automatic),5473-KHBPS,Female,0,Yes,,Yes,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),95.7,4976.15,No
1703-MGIABMonth-to-monthMailed check,1703-MGIAB,Female,0,No,,No,17,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,69,1108,No
3612-YUNGGTwo yearCredit card (automatic),3612-YUNGG,male,0,Yes,,Yes,64,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),109.2,6741.15,No
8200-LGKSRTwo yearElectronic check,8200-LGKSR,male,0,Yes,,No,71,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,n,Electronic check,83.2,6126.1,No
9631-XEYKEMonth-to-monthBank transfer (automatic),9631-XEYKE,male,0,No,,No,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,n,Bank transfer (automatic),50.4,137.25,No
7973-DZRKHTwo yearCredit card (automatic),7973-DZRKH,Female,0,No,,Yes,66,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),90.95,5930.05,No
6837-HAEVOTwo yearElectronic check,6837-HAEVO,male,0,Yes,,Yes,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,105,7297.75,No
6402-EJMWFMonth-to-monthMailed check,6402-EJMWF,male,0,No,,No,4,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,55.3,238.5,No
1080-BWSYETwo yearCredit card (automatic),1080-BWSYE,male,1,Yes,,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,n,Credit card (automatic),25.65,1740.8,No
7291-CDTMJMonth-to-monthBank transfer (automatic),7291-CDTMJ,male,0,No,,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.65,19.65,No
7359-PTSXYMonth-to-monthElectronic check,7359-PTSXY,male,0,No,,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,n,Electronic check,45.75,45.75,Yes
3858-XHYJOOne yearBank transfer (automatic),3858-XHYJO,Female,0,Yes,,No,40,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,n,Bank transfer (automatic),105.75,4228.55,No
3871-IKPYHMonth-to-monthElectronic check,3871-IKPYH,male,1,No,,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,n,Electronic check,69.1,69.1,Yes
9592-ERDKVOne yearMailed check,9592-ERDKV,male,0,Yes,,No,37,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,n,Mailed check,79.25,2911.8,No
5039-LZRQTOne yearMailed check,5039-LZRQT,Female,0,No,,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,n,Mailed check,20.2,273.25,No
3005-TYFRDMonth-to-monthCredit card (automatic),3005-TYFRD,Female,0,Yes,,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.65,5676.65,No
6559-ILWKJTwo yearElectronic check,6559-ILWKJ,male,0,Yes,,No,71,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,n,Electronic check,49.35,3515.25,Yes
0187-QSXOEMonth-to-monthElectronic check,0187-QSXOE,male,1,Yes,,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,yes,Electronic check,89,605.45,No
9253-VIFJQOne yearCredit card (automatic),9253-VIFJQ,male,0,Yes,,No,65,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,n,Credit card (automatic),67.05,4309.55,No
3663-MITLPMonth-to-monthElectronic check,3663-MITLP,Female,0,No,,No,15,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,1457.25,Yes
3470-BTGQOMonth-to-monthMailed check,3470-BTGQO,male,0,No,,Yes,21,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,n,Mailed check,45.65,985.05,No
3807-BPOMJOne yearElectronic check,3807-BPOMJ,Female,0,Yes,,No,55,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,94.75,5276.1,No
0495-ZBNGWMonth-to-monthBank transfer (automatic),0495-ZBNGW,male,1,Yes,,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,yes,Bank transfer (automatic),79.9,343.95,Yes
5446-DKWYWOne yearElectronic check,5446-DKWYW,Female,1,Yes,,Yes,61,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,65.2,3965.05,No
6647-ZEDXTOne yearCredit card (automatic),6647-ZEDXT,Female,0,No,,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,n,Credit card (automatic),110.45,3327.05,No
5153-LXKDTTwo yearElectronic check,5153-LXKDT,male,0,Yes,,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,yes,Electronic check,110.2,7467.5,No
9360-AHGNLOne yearMailed check,9360-AHGNL,Female,1,Yes,,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,109.55,4830.25,Yes
2632-UCGVDMonth-to-monthCredit card (automatic),2632-UCGVD,male,1,Yes,,No,66,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,yes,Credit card (automatic),100.05,6871.9,Yes
7061-OVMIMOne yearBank transfer (automatic),7061-OVMIM,Female,0,Yes,YES,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,n,Bank transfer (automatic),19.55,608.5,No
7102-JJVTXOne yearMailed check,7102-JJVTX,Female,0,Yes,,Yes,9,Yes,No,DSL,Yes,No,No,No,No,No,One year,n,Mailed check,48.6,422.3,No
7576-JMYWVMonth-to-monthElectronic check,7576-JMYWV,Female,1,Yes,,Yes,46,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.2,4972.1,No
5951-AOFIHMonth-to-monthCredit card (automatic),5951-AOFIH,male,0,No,,No,33,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.4,2245.4,No
8327-WKMIEOne yearCredit card (automatic),8327-WKMIE,male,0,No,,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,n,Credit card (automatic),20.15,785.75,No
7305-ZWMAJOne yearCredit card (automatic),7305-ZWMAJ,male,0,Yes,,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,n,Credit card (automatic),20.7,587.1,No
4860-IJUDEMonth-to-monthCredit card (automatic),4860-IJUDE,male,0,No,,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.75,956.65,No
8409-WQJUXOne yearElectronic check,8409-WQJUX,f,0,No,,No,25,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,54.2,1423.15,No
0599-XNYDOMonth-to-monthBank transfer (automatic),0599-XNYDO,Female,0,Yes,,No,20,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.8,1540.35,No
